,epoch,train_loss,val_loss,classification_train,bbox_regression_train,classification_val,bbox_regression_val
0,1,0.7727476286737225,0.46926170587539673,0.44177534336907953,0.3309722850217095,0.2595840021967888,0.2595840021967888
1,2,0.4793356198676025,0.5049656083186468,0.2539927280401882,0.22534289390225953,0.3898388296365738,0.3898388296365738
2,3,0.3587460763092282,0.3624247871339321,0.1769379346242434,0.18180814045893995,0.13081171363592148,0.13081171363592148
3,4,0.2896018069756182,0.32194266219933826,0.1361188394830951,0.15348296895434585,0.08205312862992287,0.08205312862992287
4,5,0.21354064750897733,0.3158275745809078,0.08378750194288508,0.1297531461791147,0.30118298530578613,0.30118298530578613
5,6,0.19816155203535588,0.3585182713965575,0.06760557633647814,0.13055597585213335,0.17899342626333237,0.17899342626333237
6,7,0.1909872220852707,0.2817145213484764,0.06433596160215667,0.12665126076604746,0.10758142359554768,0.10758142359554768
7,8,0.21654290074034582,0.29494786635041237,0.08536028388085999,0.13118261693021918,0.07126081921160221,0.07126081921160221
8,9,0.2244755823778201,0.32237307727336884,0.09623095491028662,0.12824462684272211,0.15445882081985474,0.15445882081985474
9,10,0.1488025642082661,0.29818374166886014,0.042211287654936314,0.10659127673016319,0.09522221703082323,0.09522221703082323
10,11,0.11558936239231991,0.28181489184498787,0.023942919112034614,0.09164644339227979,0.17227163165807724,0.17227163165807724
11,12,0.10402132731072511,0.2854887830714385,0.017842631810639477,0.08617869538219669,0.19532132893800735,0.19532132893800735
12,13,0.09800866312241252,0.3220418492952983,0.011436451683292471,0.08657221147153951,0.2743862271308899,0.2743862271308899
13,14,0.11228673273249518,0.3075482336183389,0.01095492260742791,0.10133181031368955,0.17005778662860394,0.17005778662860394
14,15,0.11083002379046211,0.3533375921348731,0.011041625615067874,0.09978839726764945,0.21491030603647232,0.21491030603647232
